date,pm25,pm10,o3,no2,so2
2018/11/4,25,6,28,10,
2018/11/5,15,16,19,11,
2018/11/6,51,14,25,8,
2018/11/7,46,8,16,12,
2018/11/8,28,6,24,15,
2018/11/9,20,9,28,9,
2018/11/10,30,8,24,12,
2018/11/11,25,8,16,10,
2018/11/12,25,7,22,9,
2018/11/13,22,7,21,8,
2018/11/14,21,6,24,6,
2018/11/15,20,7,26,5,
2018/11/16,21,8,22,7,
2018/11/17,32,13,14,13,
2018/11/18,50,17,14,11,
2018/11/19,58,16,20,9,
2018/11/20,51,8,15,13,
2018/11/21,25,6,16,13,
2018/11/22,17,10,18,9,1
2018/11/23,39,17,12,16,1
2018/11/24,61,19,11,15,
2018/11/25,65,13,17,10,
2018/11/26,49,10,11,17,
2018/11/27,39,10,21,8,
2018/11/28,37,7,32,4,
2018/11/29,25,5,27,7,
2018/11/30,13,6,25,5,
2018/12/1,15,8,22,17,
2018/12/2,26,16,25,8,
2018/12/3,58,6,22,11,
2018/12/4,16,12,13,24,3
2018/12/5,37,19,23,17,1
2018/12/6,58,13,23,9,
2018/12/7,50,8,27,5,
2018/12/8,21,9,28,4,
2018/12/9,20,7,27,4,
2018/12/10,19,9,21,19,1
2018/12/11,25,29,21,13,1
2018/12/12,80,12,20,12,1
2018/12/13,37,15,15,10,
2018/12/14,51,13,14,8,
2018/12/15,43,12,22,5,
2018/12/16,42,7,27,7,
2018/12/17,21,9,25,4,
2018/12/18,29,8,25,9,
2018/12/19,22,6,26,6,
2018/12/20,16,5,27,6,
2018/12/21,13,5,20,14,1
2018/12/22,17,3,27,6,1
2018/12/23,13,5,20,11,
2018/12/24,14,,,,
2018/12/28,58,15,21,6,
2018/12/29,54,7,24,8,
2018/12/30,24,9,25,4,
2018/12/31,35,,,,
2018/7/13,37,22,20,9,1
2018/7/14,73,14,27,8,1
2018/7/15,51,6,20,3,1
2018/7/16,22,7,19,4,1
2018/7/17,17,8,23,2,1
2018/7/18,25,9,20,1,
2018/7/19,31,9,24,1,
2018/7/20,32,6,17,,
2018/7/21,19,6,17,,
2018/7/22,19,6,15,,
2018/7/23,21,6,15,,
2018/7/24,21,7,21,,
2018/7/25,20,9,22,,
2018/7/26,32,9,22,,
2018/7/27,31,6,23,,
2018/7/28,17,4,21,,
2018/7/29,11,4,18,,
2018/7/30,11,5,22,3,
2018/7/31,12,6,22,2,
2018/8/1,17,3,22,4,
